feature,importance
cat__state of previous residence_Colorado,0
cat__major occupation code_Not in universe,0
cat__state of previous residence_Louisiana,0
cat__state of previous residence_Maryland,0
cat__country of birth self_Honduras,0
cat__country of birth self_Hong Kong,0
cat__country of birth mother_Peru,0
cat__country of birth mother_Panama,0
cat__country of birth self_Thailand,0
cat__country of birth self_Trinadad&Tobago,0
cat__country of birth mother_Nicaragua,0
cat__state of previous residence_Delaware,0
cat__major occupation code_Farming forestry and fishing,0
cat__country of birth mother_Laos,0
cat__state of previous residence_Nebraska,0
cat__major occupation code_Armed Forces,0
cat__country of birth self_Japan,0
cat__state of previous residence_New Hampshire,0
cat__major industry code_Armed Forces,0
cat__class of worker_Never worked,0
cat__country of birth mother_Puerto-Rico,0
cat__state of previous residence_Kentucky,0
cat__country of birth self_South Korea,0
cat__reason for unemployment_New entrant,0
cat__state of previous residence_Florida,0
cat__country of birth self_El-Salvador,0
cat__country of birth self_Ecuador,0
cat__state of previous residence_Idaho,0
cat__country of birth self_Cuba,0
cat__region of previous residence_Abroad,0
cat__country of birth self_Columbia,0
cat__country of birth self_Nicaragua,0
cat__country of birth self_Cambodia,0
cat__hispanic origin_Chicano,0
cat__country of birth self_Panama,0
cat__state of previous residence_Abroad,0
cat__country of birth mother_Vietnam,0
cat__country of birth self_Guatemala,0
cat__state of previous residence_New Mexico,0
cat__country of birth self_Holand-Netherlands,0
cat__country of birth mother_Thailand,0
cat__country of birth self_Puerto-Rico,0
cat__country of birth self_Haiti,0
cat__migration code-change in msa_Not in universe,0
cat__state of previous residence_New York,0
cat__live in this house 1 year ago_Yes,0
cat__detailed household and family stat_Grandchild <18 never marr not in subfamily,0
cat__family members under 18_Both parents present,0
cat__family members under 18_Father only present,0
cat__family members under 18_Mother only present,0
cat__family members under 18_Neither parent present,0
cat__detailed household and family stat_Grandchild <18 never marr child of subfamily RP,0
cat__country of birth father_Cambodia,0
cat__detailed household and family stat_Grandchild <18 never marr RP of subfamily,0
cat__detailed household and family stat_Grandchild <18 ever marr not in subfamily,0
cat__country of birth father_Columbia,0
cat__detailed household and family stat_Grandchild 18+ spouse of subfamily RP,0
cat__country of birth father_Ecuador,0
cat__detailed household and family stat_Grandchild 18+ never marr RP of subfamily,0
cat__detailed household and family stat_Grandchild 18+ ever marr not in subfamily,0
cat__detailed household and family stat_Grandchild 18+ ever marr RP of subfamily,0
cat__migration prev res in sunbelt_?,0
cat__live in this house 1 year ago_Not in universe under 1 year old,0
cat__country of birth father_Haiti,0
cat__live in this house 1 year ago_No,0
cat__migration code-change in reg_Abroad,0
cat__migration code-change in msa_Abroad to nonMSA,0
cat__migration code-change in msa_Abroad to MSA,0
cat__detailed household summary in household_Group Quarters- Secondary individual,0
cat__migration code-change in reg_Not in universe,0
cat__detailed household summary in household_Child under 18 ever married,0
cat__migration code-move within reg_?,0
cat__migration code-move within reg_Abroad,0
cat__detailed household and family stat_Other Rel <18 spouse of subfamily RP,0
cat__detailed household and family stat_Other Rel <18 never married RP of subfamily,0
cat__migration code-move within reg_Different state in Northeast,0
cat__detailed household and family stat_Other Rel <18 never marr not in subfamily,0
cat__detailed household and family stat_Other Rel <18 ever marr RP of subfamily,0
cat__migration code-move within reg_Not in universe,0
cat__detailed household and family stat_Other Rel 18+ never marr RP of subfamily,0
cat__country of birth father_Guatemala,0
cat__country of birth father_Holand-Netherlands,0
cat__country of birth mother_Honduras,0
cat__state of previous residence_West Virginia,0
cat__country of birth father_Trinadad&Tobago,0
cat__state of previous residence_Virginia,0
cat__country of birth father_Vietnam,0
cat__country of birth father_Yugoslavia,0
cat__country of birth mother_Cambodia,0
cat__state of previous residence_Tennessee,0
cat__state of previous residence_South Dakota,0
cat__country of birth mother_Columbia,0
cat__country of birth mother_Ecuador,0
cat__state of previous residence_South Carolina,0
cat__migration code-change in reg_?,0
cat__state of previous residence_Ohio,0
cat__state of previous residence_Not in universe,0
cat__country of birth mother_Guatemala,0
cat__country of birth mother_Haiti,0
cat__country of birth father_Thailand,0
cat__state of previous residence_Wisconsin,0
cat__country of birth father_Honduras,0
cat__detailed household and family stat_Child 18+ ever marr RP of subfamily,0
cat__detailed household and family stat_Child under 18 of RP of unrel subfamily,0
cat__country of birth father_Hungary,0
cat__detailed household and family stat_Child <18 spouse of subfamily RP,0
cat__detailed household and family stat_Child <18 never marr not in subfamily,0
cat__detailed household and family stat_Child <18 never marr RP of subfamily,0
cat__detailed household and family stat_Child <18 ever marr not in subfamily,0
cat__country of birth father_Jamaica,0
cat__country of birth father_Laos,0
cat__detailed household and family stat_Child <18 ever marr RP of subfamily,0
cat__country of birth father_Nicaragua,0
cat__country of birth father_Outlying-U S (Guam USVI etc),0
cat__country of birth father_Panama,0
cat__country of birth father_Peru,0
cat__detailed household and family stat_Child 18+ spouse of subfamily RP,0
cat__detailed household and family stat_Child 18+ never marr RP of subfamily,0
cat__detailed household and family stat_Other Rel <18 never marr child of subfamily RP,0
