feature,importance
cat__detailed household and family stat_Other Rel 18+ ever marr RP of subfamily,0.0013513917
cat__region of previous residence_Abroad,0.0013376748
cat__country of birth self_Puerto-Rico,0.0013265628
cat__class of worker_Not in universe,0.0013260886
cat__country of birth self_Jamaica,0.0013123873
cat__country of birth father_South Korea,0.0012958808
cat__country of birth self_France,0.001287111
cat__country of birth father_Taiwan,0.0012703835
cat__citizenship_Native- Born in Puerto Rico or U S Outlying,0.0012679606
cat__enroll in edu inst last wk_Not in universe,0.0012658808
cat__migration code-change in reg_Different division same region,0.0012630951
cat__state of previous residence_Indiana,0.0012414881
cat__education_1st 2nd 3rd or 4th grade,0.0012414284
cat__country of birth father_Guatemala,0.0012305197
cat__marital stat_Married-A F spouse present,0.0011977854
cat__country of birth mother_Ecuador,0.0011850162
cat__country of birth father_Outlying-U S (Guam USVI etc),0.0011647476
cat__migration code-move within reg_Nonmover,0.0011026455
cat__country of birth father_Puerto-Rico,0.0010920928
cat__state of previous residence_North Dakota,0.0010779476
cat__state of previous residence_Not in universe,0.0010598563
cat__major occupation code_Farming forestry and fishing,0.0010595788
cat__state of previous residence_Pennsylvania,0.0010251978
cat__state of previous residence_South Dakota,0.0009875295
cat__state of previous residence_Wisconsin,0.0009853335
cat__education_Less than 1st grade,0.0009834355
cat__country of birth self_Thailand,0.00094964524
cat__migration code-change in msa_Abroad to MSA,0.00092645234
cat__migration code-change in msa_?,0.00090653455
cat__class of worker_Without pay,0.00089350814
cat__major occupation code_Private household services,0.00084089313
cat__hispanic origin_Do not know,0.00075419294
cat__migration prev res in sunbelt_Not in universe,0.0006851931
cat__country of birth self_Taiwan,0.0006686402
cat__class of worker_Never worked,0.00064096047
cat__state of previous residence_Tennessee,0.0006290305
cat__state of previous residence_Kentucky,0.000604277
cat__country of birth mother_Honduras,0.00058015744
cat__state of previous residence_Illinois,0.00056110206
cat__country of birth self_Yugoslavia,0.0005246367
cat__reason for unemployment_New entrant,0.00041241638
cat__state of previous residence_Nebraska,0.00010171499
cat__detailed household and family stat_Child <18 never marr not in subfamily,4.802628e-05
cat__country of birth father_Laos,3.1898426e-06
cat__country of birth mother_Laos,1.5199474e-07
cat__state of previous residence_Maryland,0.0
cat__country of birth father_Panama,0.0
cat__migration prev res in sunbelt_?,0.0
cat__country of birth self_Holand-Netherlands,0.0
cat__major occupation code_Armed Forces,0.0
cat__country of birth self_Honduras,0.0
cat__detailed household and family stat_Child <18 ever marr RP of subfamily,0.0
cat__major industry code_Armed Forces,0.0
cat__family members under 18_Mother only present,0.0
cat__state of previous residence_Delaware,0.0
cat__major industry code_Not in universe or children,0.0
cat__family members under 18_Father only present,0.0
cat__country of birth self_Greece,0.0
cat__major occupation code_Not in universe,0.0
cat__country of birth self_Laos,0.0
cat__state of previous residence_Ohio,0.0
cat__education_Children,0.0
cat__country of birth self_Nicaragua,0.0
cat__country of birth self_Trinadad&Tobago,0.0
cat__country of birth self_Outlying-U S (Guam USVI etc),0.0
cat__country of birth self_Panama,0.0
cat__country of birth self_Guatemala,0.0
cat__migration code-move within reg_?,0.0
cat__detailed household and family stat_Child <18 ever marr not in subfamily,0.0
cat__detailed household summary in household_Child under 18 ever married,0.0
cat__detailed household and family stat_Other Rel <18 ever marr RP of subfamily,0.0
cat__country of birth mother_Panama,0.0
cat__detailed household and family stat_Other Rel <18 never marr child of subfamily RP,0.0
cat__country of birth mother_Nicaragua,0.0
cat__detailed household and family stat_Other Rel <18 never marr not in subfamily,0.0
cat__detailed household and family stat_Other Rel <18 never married RP of subfamily,0.0
cat__detailed household and family stat_Other Rel <18 spouse of subfamily RP,0.0
cat__detailed household summary in household_Child under 18 never married,0.0
cat__live in this house 1 year ago_Yes,0.0
cat__detailed household summary in household_Group Quarters- Secondary individual,0.0
cat__country of birth mother_Guatemala,0.0
cat__migration code-change in msa_Abroad to nonMSA,0.0
cat__migration code-change in msa_Not in universe,0.0
cat__migration code-change in reg_?,0.0
cat__migration code-change in reg_Abroad,0.0
cat__migration code-move within reg_Abroad,0.0
cat__detailed household and family stat_Other Rel 18+ never marr RP of subfamily,0.0
cat__migration code-move within reg_Not in universe,0.0
cat__detailed household and family stat_In group quarters,0.0
cat__detailed household and family stat_Grandchild <18 never marr not in subfamily,0.0
cat__detailed household and family stat_Child <18 never marr RP of subfamily,0.0
cat__country of birth self_Ecuador,0.0
cat__detailed household and family stat_Child <18 spouse of subfamily RP,0.0
cat__migration code-change in reg_Not in universe,0.0
cat__country of birth self_Columbia,0.0
cat__detailed household and family stat_Grandchild 18+ ever marr RP of subfamily,0.0
cat__detailed household and family stat_Grandchild 18+ never marr RP of subfamily,0.0
cat__country of birth self_Cambodia,0.0
cat__detailed household and family stat_Grandchild 18+ spouse of subfamily RP,0.0
cat__detailed household and family stat_Grandchild <18 ever marr not in subfamily,0.0
cat__country of birth mother_Vietnam,0.0
cat__detailed household and family stat_Grandchild <18 never marr RP of subfamily,0.0
cat__family members under 18_Neither parent present,0.0
cat__country of birth father_Honduras,0.0
cat__detailed household and family stat_Grandchild <18 never marr child of subfamily RP,0.0
cat__detailed household and family stat_Child under 18 of RP of unrel subfamily,0.0
